Investor,Stock1,Stock2,Stock3,Stock4,Stock5
Investor1,ZS,IBM,NUAI,APPS,RBLX
Investor2,GOOGL,RKLB,AVGO,MSFT,GE
Investor3,META,MELI,CRM,AMD,CMG
Investor4,NVDA,MELI,MSFT,TSM,Googl
Investor5,GOOG,FBTC,FETH,NVDA,
Investor6,GOOGL,MU,GS,TSM,HOOD
Investor7,MU,NVDA,HOOD,RTX,
Investor8,MSFT,GLD,NOW,SOFI,QQQ
Investor9,SLV,IAU,AAPL,NVDA,TSMC
Investor10,AMZN,CRM,BKKT,UNH,ELF
Investor11,MSFT,Sofi,Achr,Hood,
Investor12,CRWV,MU,NU,QBTS,SNDK
Investor13,BITO,CONL,AMDL,UGL,SPYU
Investor14,AMZN,NVDA,AVAV,AMPX,MELI
Investor15,GS,EVR,TSLA,CEG,GS
Investor16,Smr,Intc,Sidu,Smci,Nke
Investor17,AMZN,GOOGL,GTLB,META,PFE
Investor18,AMD,ELF,NKE,MSTR,SOFI
Investor19,GOOGL,CRWV,CRCL,,
Investor20,HAL,BBAI,ACHR,OPEN,
Investor21,AVGO,TSM,GOOGL,GEV,XLE
Investor22,AVGO,AMD,CRM,TSM,CMG
Investor23,PLTR,CRWD,AVGO,LMT,CVX
Investor24,TTD,DXC,ALT,NWL,GOTU
Investor25,Gld,Sezl,Crwv,AVGO,PLTR
Investor26,CCC,SLB,UUUU,ACHR,
Investor27,PLTR,HOOD,SOFI,PAYC,SNPS
Investor28,CRM,NVO,OKTA,LAD,CRWV
Investor29,AMZN,CRWD,NVDA,GOOGL,META
Investor30,GOOG,PLTR,UPST,MSFT,AMZN
Investor31,NVDA,TSM,AVGO,MSFT,AMZN
Investor32,MSFT,AVGO,AMD,AMZN,NVDA
Investor33,AMZN,AAPL,GOOG,NVDA,MSFT
Investor34,Meta,Gld,Nvo,Amzn,Nflx
Investor35,PFE,MRK,META,TDOC,TTD
Investor36,COST,BULL,CRWD,GOOGL,NFLX
Investor37,Hood,Nvda,Aal,Lyb,Mrk
Investor38,NVDA,MSFT,GOOG,,
Investor39,GEV,IONQ,JPM,PSTG,LLY
Investor40,NVDA,MSFT,GOOG,AMZN,AAPL
Investor41,TTD,ANET,GOOGL,META,NET
Investor42,QQQ,VOO,TSLA,PLTR,GOOGL
Investor43,GOOG,QQQ,AMZN,META,TSLA 
Investor44,AVAV,COST,GOOG,,
Investor45,UNH,PLTR,NKE,CMG,RIVN
Investor46,SLV,SOXL,GOOGL,ORCL,ASTS
Investor47,Oil,Coin,Crwv,Crcl ,Amzn
Investor48,NVDA,GS,GOOGL,WMT,
Investor49,XOM,NIO,AMZN,,
Investor50,Bynd ,Tsla ,Lulu,,
Investor51,DIS,SOFI,CRWV,IONQ,
Investor52,FTAI,LLY,META,GOOG,NFLX
Investor53,AMZN,Nvda,Cost,Xom,
Investor54,GOOG,AMZN,ACHR,BA,NKE
Investor55,UPST,XYZ,COIN,AMZN,IREN
